trial_index,LR,epochs,gradclip,attention_heads,hidden_size,mae,mape,mse,rmse,r2,runtime_s,started_at
16,0.023387211333568664,3,0.8134463590960572,1,9,3018.8909,32.36047,2.7418164e+07,5236.236,-0.500816,3.026983,2025-11-02T16:03:34
17,0.1,4,0.5215823272125365,4,77,4778.9893,138.06058,2.3187304e+07,4815.32,-0.26922703,4.858314,2025-11-02T16:03:38
18,0.025938247327611394,4,0.4717588733601651,4,60,3637.0137,49.884,3.1350764e+07,5599.1753,-0.71607876,4.883112,2025-11-02T16:03:43
19,0.062408495649337134,4,0.23673477060934903,8,85,2992.707,49.700447,2.0062322e+07,4479.098,-0.09817171,4.930733,2025-11-02T16:03:49
20,0.04129270663623535,4,0.5730592945172219,2,34,3220.4065,38.115097,2.8628936e+07,5350.6016,-0.5670912,4.292099,2025-11-02T16:03:55
21,0.046635785402824745,4,0.7297974894525031,4,118,3729.1577,86.03332,1.8287488e+07,4276.387,-0.0010209084,5.258016,2025-11-02T16:04:01
22,0.041238050047105526,4,0.552030614461857,4,108,3734.6804,52.866673,3.2222038e+07,5676.446,-0.7637706,5.019593,2025-11-02T16:04:07
23,0.02990125521103407,4,0.5329870355857717,4,72,3333.6643,65.70897,1.8878804e+07,4344.9746,-0.033388376,4.605342,2025-11-02T16:04:13
24,0.050978288815957375,4,0.45605425816844486,8,100,4212.763,110.08309,1.9441684e+07,4409.2725,-0.06419921,5.168159,2025-11-02T16:04:19
25,1e-05,4,0.21909965730648687,2,77,2853.1965,33.506157,2.4063688e+07,4905.475,-0.31719863,4.614989,2025-11-02T16:04:25
26,0.004708394374796391,5,0.01,4,46,3630.045,49.822174,3.1449236e+07,5607.962,-0.7214689,5.50095,2025-11-02T16:04:31
27,1e-05,4,0.8223841460391105,2,78,2898.6462,40.37215,2.2009276e+07,4691.4043,-0.20474422,4.750477,2025-11-02T16:04:38
28,1e-05,4,1.0,4,66,2886.461,41.13585,2.1661432e+07,4654.1846,-0.18570387,4.574641,2025-11-02T16:04:43
29,0.1,4,0.01,4,67,3157.7148,57.710922,1.9330328e+07,4396.627,-0.05810392,4.661504,2025-11-02T16:04:49
30,0.06534311560571128,5,0.01,4,55,2892.004,37.312237,2.301981e+07,4797.8965,-0.26005876,5.896227,2025-11-02T16:04:55
31,1e-05,4,0.5720228153928152,4,66,2886.48,41.145615,2.165854e+07,4653.8735,-0.18554556,4.619806,2025-11-02T16:05:02
32,0.1,4,0.8329839172692286,4,68,2891.09,36.753414,2.322377e+07,4819.1045,-0.2712232,4.71514,2025-11-02T16:05:08
33,0.1,4,1.0,8,73,6758.8906,236.07936,5.6430096e+07,7511.9966,-2.0888717,4.770708,2025-11-02T16:05:13
34,1e-05,5,0.2053268706478403,1,8,3783.9146,88.74182,1.8327028e+07,4281.008,-0.003185153,3.641039,2025-11-02T16:05:19
35,1e-05,3,0.807181207576401,1,61,2921.5767,45.91113,2.0556476e+07,4533.925,-0.12522078,3.963528,2025-11-02T16:05:24
36,0.04064848657453691,3,0.01,1,43,3300.0955,40.54165,2.912331e+07,5396.6016,-0.59415233,3.656772,2025-11-02T16:05:29
37,1e-05,4,1.0,1,51,3503.3557,74.46005,1.84501e+07,4295.358,-0.009921908,4.74171,2025-11-02T16:05:33
38,1e-05,5,0.01,8,8,3681.0808,83.87189,1.8246746e+07,4271.621,0.001209259,3.683354,2025-11-02T16:05:39
39,1e-05,3,0.01,4,72,3529.7544,75.73849,1.8419636e+07,4291.8105,-0.008254409,3.696717,2025-11-02T16:05:44
40,1e-05,5,0.01,2,94,3048.9011,52.61964,1.9764562e+07,4445.7354,-0.08187294,5.990646,2025-11-02T16:05:48
41,0.09333541755901283,3,0.01,1,8,3341.268,41.567505,2.9408212e+07,5422.934,-0.6097473,2.464095,2025-11-02T16:05:55
42,0.051287965417831635,4,0.01,1,62,3257.016,39.15733,2.8894214e+07,5375.334,-0.581612,4.990598,2025-11-02T16:05:59
43,1e-05,5,0.01,8,86,2884.3892,41.173973,2.162788e+07,4650.5786,-0.18386734,5.869542,2025-11-02T16:06:05
44,1e-05,3,0.01,1,8,3801.8977,89.60277,1.8348176e+07,4283.477,-0.0043427944,2.482904,2025-11-02T16:06:12
45,0.05601616045169454,3,0.7567789502666528,1,53,3510.2407,75.29886,1.8365384e+07,4285.4854,-0.005284786,3.883366,2025-11-02T16:06:16
46,0.055956836353747444,5,0.01,1,73,3111.795,34.991833,2.7904976e+07,5282.516,-0.5274631,5.709865,2025-11-02T16:06:21
47,0.1,5,0.01,1,22,2890.6304,34.345943,2.4235414e+07,4922.9478,-0.32659853,4.983249,2025-11-02T16:06:27
48,0.06618547570743659,5,1.0,1,8,2905.5474,35.35683,2.3952594e+07,4894.1387,-0.31111753,3.730492,2025-11-02T16:06:33
49,0.07163503622714124,5,0.01,1,8,2974.8416,31.849533,2.67795e+07,5174.891,-0.4658568,3.505778,2025-11-02T16:06:38
50,1e-05,5,1.0,1,128,2899.0327,31.97742,2.5319232e+07,5031.822,-0.38592458,6.302961,2025-11-02T16:06:43
51,1e-05,5,0.01,1,128,2896.84,32.27648,2.5153354e+07,5015.312,-0.37684476,6.47645,2025-11-02T16:06:50
52,1e-05,5,1.0,8,128,2928.1208,43.425938,2.1303528e+07,4615.5747,-0.1661129,6.287061,2025-11-02T16:06:58
53,0.06073984880040129,3,0.01,1,8,3269.6416,39.52077,2.8960836e+07,5381.5273,-0.58525884,2.667881,2025-11-02T16:07:05
54,0.05675444640607543,5,0.01,8,8,2964.975,31.83823,2.660507e+07,5158.0103,-0.45630884,3.755735,2025-11-02T16:07:09
55,0.05277454798689207,5,0.01,1,8,3507.5054,46.368824,3.0593456e+07,5531.1353,-0.67462516,3.678326,2025-11-02T16:07:14
56,1e-05,3,0.01,1,128,2892.448,35.73411,2.363189e+07,4861.264,-0.2935629,4.230167,2025-11-02T16:07:19
57,1e-05,3,1.0,1,128,2894.3472,35.668617,2.3680066e+07,4866.217,-0.29619992,4.254186,2025-11-02T16:07:24
58,0.04627793259208502,5,1.0,1,8,2896.6812,33.06442,2.481766e+07,4981.7324,-0.3584695,3.619358,2025-11-02T16:07:30
59,0.017977529265576855,5,0.01,1,100,4623.3096,78.38343,3.9722244e+07,6302.5586,-1.1743169,5.874732,2025-11-02T16:07:35
60,0.04738134652879278,5,1.0,8,8,2901.1023,31.610882,2.5520094e+07,5051.7417,-0.39691937,3.625726,2025-11-02T16:07:42
61,0.04428047530340016,3,0.01,8,8,2885.7646,35.37195,2.3701524e+07,4868.421,-0.2973745,2.69342,2025-11-02T16:07:47
62,0.043513012920670016,3,1.0,8,8,2887.8137,37.188877,2.3024706e+07,4798.4067,-0.26032674,2.675119,2025-11-02T16:07:51
63,0.05434028724859062,3,0.653252193650418,4,68,3666.124,82.92264,1.827065e+07,4274.418,-9.918213e-05,3.754885,2025-11-02T16:07:55
64,0.1,5,0.01,1,128,3106.3154,55.219055,1.953902e+07,4420.2964,-0.06952727,6.379131,2025-11-02T16:08:00
65,0.035475303362866695,5,1.0,8,8,3771.4883,53.922047,3.2507224e+07,5701.5107,-0.77938104,3.662897,2025-11-02T16:08:08
66,1e-05,3,0.01,8,128,2912.448,44.93202,2.0746288e+07,4554.8096,-0.1356107,4.329127,2025-11-02T16:08:13
67,0.1,5,0.01,8,8,3052.9868,33.30358,2.7563878e+07,5250.1313,-0.50879204,3.719757,2025-11-02T16:08:18
68,0.1,5,1.0,1,8,3229.4736,38.369087,2.869265e+07,5356.5522,-0.5705788,3.691766,2025-11-02T16:08:24
69,0.03727531814167591,3,1.0,1,11,2905.5608,37.46376,2.311995e+07,4808.321,-0.26554024,3.208607,2025-11-02T16:08:29
70,0.027016390223186824,5,0.700421380039165,8,75,3464.5957,45.101357,3.0138376e+07,5489.843,-0.64971495,5.771424,2025-11-02T16:08:35
71,0.0705157553280099,3,0.7274790324887539,8,8,3033.8105,33.75414,2.6776556e+07,5174.607,-0.46569562,2.703001,2025-11-02T16:08:42
72,0.052813644900657694,3,0.9098367341752593,4,51,3457.554,46.464233,3.33417e+07,5774.227,-0.8250586,3.886893,2025-11-02T16:08:46
73,0.1,4,1.0,4,70,5429.3354,101.461586,4.773705e+07,6909.2,-1.6130314,4.645049,2025-11-02T16:08:52
74,1e-05,3,1.0,1,100,3253.5264,61.056023,1.9300452e+07,4393.228,-0.056468487,4.150379,2025-11-02T16:08:58
75,0.06265903524636963,5,0.01,1,24,2893.539,32.534576,2.4996116e+07,4999.612,-0.36823785,4.952044,2025-11-02T16:09:04
76,0.06152363646110866,3,1.0,1,8,3548.2703,47.513725,3.08388e+07,5553.2695,-0.6880548,2.472628,2025-11-02T16:09:10
77,0.021247502427945836,4,0.06295443879477178,1,76,3233.2644,38.401825,2.8630268e+07,5350.726,-0.5671642,4.752735,2025-11-02T16:09:15
78,0.06537122241938724,5,0.01,8,19,3267.0703,39.44741,2.89345e+07,5379.08,-0.58381724,4.763366,2025-11-02T16:09:21
79,0.1,3,1.0,8,8,3355.326,41.943363,2.950367e+07,5431.728,-0.6149725,2.523952,2025-11-02T16:09:27
80,0.018980046955505717,5,0.01,1,64,2900.8179,41.72774,2.1591142e+07,4646.627,-0.1818564,5.647006,2025-11-02T16:09:31
81,0.053443014824824775,4,0.5217462989843263,8,71,3652.8306,50.767387,3.2102946e+07,5665.9463,-0.7572516,4.69265,2025-11-02T16:09:39
82,0.05690476912170397,3,0.05571548204167974,4,9,3252.3257,38.932957,2.8709486e+07,5358.1235,-0.5715004,3.089676,2025-11-02T16:09:46
83,0.03861667667185288,5,1.0,2,10,2951.981,31.633532,2.6448362e+07,5142.797,-0.4477309,4.547215,2025-11-02T16:09:51
84,0.03534893069196215,5,0.01,2,77,2845.228,30.167913,2.53998e+07,5039.8213,-0.39033473,5.659636,2025-11-02T16:09:57
85,0.06910063225236744,5,0.01,8,12,3287.4077,64.21302,1.884798e+07,4341.4263,-0.031701088,4.563709,2025-11-02T16:10:07
86,0.0750962672941174,5,0.01,2,22,3235.539,38.577633,2.8745242e+07,5361.459,-0.5734576,5.073957,2025-11-02T16:10:13
87,0.08992212842246133,3,0.1453841554737567,1,25,3007.3213,49.942947,2.0144964e+07,4488.314,-0.102695465,3.485648,2025-11-02T16:10:20
88,0.06797048167959582,5,0.01,1,21,2924.2896,30.906301,2.6327358e+07,5131.019,-0.4411074,5.021682,2025-11-02T16:10:26
89,0.04925778266673203,4,0.5698427742784086,8,76,2888.3782,40.154552,2.1987914e+07,4689.1274,-0.2035749,4.845696,2025-11-02T16:10:33
90,0.04859821236127763,4,0.5086032183621467,2,66,2906.4746,45.296623,2.060682e+07,4539.4736,-0.12797654,4.633518,2025-11-02T16:10:39
91,0.05320800752667748,5,0.01,1,76,2892.0254,41.622906,2.1550848e+07,4642.289,-0.17965078,5.74506,2025-11-02T16:10:46
92,0.07887668518107893,5,1.0,8,8,2900.9868,35.287292,2.3891728e+07,4887.9165,-0.30778587,3.874777,2025-11-02T16:10:56
93,0.021605613562043664,5,0.01,4,54,3176.623,43.57663,2.46439e+07,4964.262,-0.34895825,5.746808,2025-11-02T16:11:02
94,1e-05,5,0.814421223246842,2,128,2877.328,36.27922,2.3245876e+07,4821.398,-0.27243316,6.492685,2025-11-02T16:11:10
95,0.03502106690405395,5,1.0,1,22,3586.6838,48.617775,3.1133116e+07,5579.7056,-0.7041651,4.943875,2025-11-02T16:11:18
96,0.04583317216677791,4,0.5273823257355905,8,69,3869.6184,92.93857,1.843489e+07,4293.587,-0.009089351,4.732846,2025-11-02T16:11:26
97,0.0774299884868215,5,0.01,8,58,2878.005,32.095673,2.4994102e+07,4999.41,-0.36812758,5.931639,2025-11-02T16:11:32
98,0.1,5,0.01,8,56,2898.6694,30.356646,2.6223558e+07,5120.894,-0.43542564,5.749853,2025-11-02T16:11:40
99,0.1,5,0.01,2,58,3547.2402,77.1436,1.8312716e+07,4279.336,-0.0024018288,5.857197,2025-11-02T16:11:48
